,file_name,rw,Al2O3_Al1_Biso,Al2O3_Al2_Biso,Al2O3_Al3_Biso,Al2O3_O1_Biso,Al2O3_a,Al2O3_c,Al2O3_delta2,Al2O3_psize,Al2O3_scale,NiO_Ni0_Biso,NiO_O1_Biso,NiO_a,NiO_delta2,NiO_psize,NiO_scale,Ni_Ni0_Biso,Ni_O1_Biso,Ni_a,Ni_delta2,Ni_psize,Ni_scale
561,azint_UC1_Al2O3_2_0008_scan0031_pilatus_rm_NiO,0.3154228,0.537004215,3.44337424,1.27955121,1.77391572,5.65219023,7.85091534,2.70872106,60.980574,0.324585146,,,,,,,1.2094757,,3.5547686,3.64135339,51.0091875,0.167760878
562,azint_UC1_Al2O3_2_0008_scan0032_pilatus_rm_NiO,0.31514258,0.570898871,3.82936978,1.25679547,1.75752139,5.6524218,7.85041338,2.63871697,60.5611383,0.33067102,,,,,,,1.20439643,,3.55481806,3.66709612,51.0976792,0.166876624
563,azint_UC1_Al2O3_2_0008_scan0033_pilatus_rm_NiO,0.31476812,0.580016635,3.85176125,1.27783518,1.7402877,5.65224122,7.85046451,2.66815262,60.5955997,0.329632519,,,,,,,1.20483574,,3.5548924,3.67519024,51.095349,0.166912655
564,azint_UC1_Al2O3_2_0008_scan0034_pilatus_rm_NiO,0.31634961,0.551093418,3.78735792,1.37747399,1.66331162,5.65264023,7.85024715,2.69085852,61.0700819,0.326897333,,,,,,,1.19306755,,3.55484545,3.64160176,50.5471442,0.167839592
565,azint_UC1_Al2O3_2_0008_scan0035_pilatus_rm_NiO,0.31515124,0.571456083,3.37528661,1.28109901,1.77269373,5.65197585,7.8515157,2.68872062,60.6751226,0.325666396,,,,,,,1.19095403,,3.55486373,3.64326583,51.2439986,0.165453846
566,azint_UC1_Al2O3_2_0008_scan0036_pilatus_rm_NiO,0.31435185,0.557389628,3.36993783,1.28388876,1.80036366,5.65251677,7.85091978,2.65436685,60.6845502,0.32747114,,,,,,,1.19819038,,3.55488965,3.64694227,50.9352086,0.165801659
567,azint_UC1_Al2O3_2_0008_scan0037_pilatus_rm_NiO,0.31477298,0.55718262,3.78781265,1.41857619,1.65935845,5.65232339,7.85051627,2.6047318,60.0019325,0.332332986,,,,,,,1.20321031,,3.55490177,3.63555354,51.1542902,0.165435145
568,azint_UC1_Al2O3_2_0008_scan0038_pilatus_rm_NiO,0.31487594,0.549686347,3.3965499,1.23875795,1.79135069,5.65261884,7.84949335,2.70908147,61.2768525,0.324733204,,,,,,,1.19786934,,3.55510109,3.54880412,50.977531,0.16605464
569,azint_UC1_Al2O3_2_0008_scan0039_pilatus_rm_NiO,0.31798102,0.579240094,3.9352938,1.23730983,1.73521239,5.65267188,7.85011825,2.72245745,61.143421,0.327155418,,,,,,,1.19964239,,3.55486167,3.656076,50.7915639,0.166552935
570,azint_UC1_Al2O3_2_0008_scan0040_pilatus_rm_NiO,0.31531028,0.553103236,3.63241024,1.27881571,1.74614097,5.65310271,7.84972711,2.68994268,60.8985338,0.327569538,,,,,,,1.20467354,,3.55499442,3.64951463,51.0940617,0.165653349
